ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.1293,1.2222,1.4133
-0.6623,0.3398,1.841
-1.021,-0.5946,2.1073
-0.9127,-0.7239,2.2106
-0.9656,-0.5414,1.9534
-1.3311,-0.4537,1.851
-1.1417,-0.7125,1.3958
-0.3665,-1.3203,0.4497
0.535,-1.6912,-0.877
1.2018,-0.2213,-3.0997
4.119,2.7684,-1.9906
4.8203,7.9003,-4.061
1.9968,10.9081,-3.6146
0.7036,7.8936,0.4716
-0.4414,3.5953,2.6933
-1.436,1.1669,3.2183
-1.3898,0.8962,2.8355
-0.4352,1.1617,1.5044
0.3932,1.3966,0.1454
0.8004,1.2219,-1.1036
1.0699,0.2764,-0.8597
0.5879,-1.2618,0.0161
0.3965,-3.0165,0.4145
0.3263,-4.425,0.5895
0.546,-5.3221,0.2327
0.7544,-5.6589,-0.4304
1.1006,-5.2889,-0.5199
1.3075,-4.7301,-0.2072
1.0331,-4.4694,0.5003
0.5714,-4.3756,0.5535
0.1648,-4.2909,0.1411
0.1467,-4.045,-0.0266
0.1958,-3.4843,0.4383
0.3641,-2.8196,1.2008
0.1617,-2.4506,1.371
-0.2905,-1.8341,0.3553
-0.4737,-1.5465,-0.1779
-0.8208,-1.4175,-0.219
-0.4717,-2.0676,-1.3166
-0.3279,-2.5797,-2.983
-2.1939,-2.0742,-4.3448
-3.143,-0.6056,-4.1602
-2.5762,1.3438,-1.9815
-2.1014,4.8491,-1.2858
0.9058,11.8309,-2.183
5.4594,20.8966,-2.5308
3.2604,18.6932,2.3383
1.0794,8.6608,3.2581
0.5489,1.3685,5.111
1.2659,-1.9127,5.1995
0.3892,-2.0388,2.4475
-0.3025,-1.0581,-0.3395
-0.6907,0.0058,-1.189
-0.7554,0.0424,0.2994
0.4716,-1.094,2.0699
0.7458,-2.5478,2.0425
0.0906,-3.5489,1.0086
-0.1949,-4.4068,0.0181
-0.1794,-5.164,-0.3854
-0.3364,-6.5807,-0.9139
-0.5576,-7.2837,-0.5161
-0.2951,-7.4166,-0.5768
-0.5207,-7.6553,-1.1698
-0.5386,-6.7371,-0.7946
-0.2481,-5.3355,-0.2223
-0.0894,-3.9917,0.4443
-0.6422,-2.8681,0.4946
-1.455,-1.5182,-0.2948
-1.514,0.0139,-1.8561
-1.0784,2.3938,-2.3908
0.5621,4.6772,-3.5203
2.6302,8.2084,-4.4257
2.8717,13.067,-3.147
-0.3837,18.2125,-1.8833
0.9883,13.3871,1.7201
0.563,6.4971,2.8974
-1.4051,2.9505,4.2693
-2.3467,2.6764,3.7736
-1.6385,3.2832,1.3595
0.2287,3.3642,-0.2235
1.9786,2.7368,-0.4301
2.9772,1.1523,-0.2708
2.3472,-0.6319,0.5131
1.4448,-2.8137,1.0975
1.4625,-4.4779,1.0219
1.2457,-5.5507,0.4595
1.2939,-5.9395,0.0123
1.2375,-6.4719,-0.3755
0.6553,-6.4921,-0.3196
0.9244,-6.288,0.1531
0.636,-5.9084,-0.5479
0.1526,-5.5543,-1.4093
-0.3104,-5.4025,-1.1929
-0.4412,-5.5083,-0.515
-0.311,-5.4864,-0.1982
-0.0233,-5.3965,-0.4258
0.413,-5.1746,-0.3516
0.662,-4.4944,0.4356
0.7579,-4.0186,0.7199
0.5981,-3.7415,-0.4816
-0.1304,-3.0206,-2.6214
-1.0416,-1.8603,-3.8593
-2.2775,0.0652,-4.6431
-2.335,2.842,-4.3736
-2.3531,8.3892,-3.5212
-0.7533,19.7627,-0.9277
1.9133,28.2791,2.8234
-1.7722,18.3504,4.6125
-0.3354,5.654,4.2143
0.1517,1.2783,4.0517
1.5198,-0.7861,3.1405
0.8687,-0.925,1.0053
-0.6708,0.0195,0.6319
-1.4042,0.55,0.0777
-1.5928,0.5652,-0.7584
-0.8156,-0.8453,0.3857
-0.258,-2.7481,1.4046
-0.1176,-4.3181,1.0409
-0.0874,-5.5235,0.8554
0.5809,-7.1793,0.7558
0.5232,-7.8293,0.8375
0.4644,-8.8562,-0.8442
0.1428,-8.4153,-2.1971
-0.581,-6.8157,-1.7108
-0.3443,-5.5253,-0.2997
-0.1371,-4.248,1.206
0.001,-2.5791,2.8864
-0.2999,-1.0795,2.4939
-1.22,-0.001,-0.0355
-1.3001,0.2737,-2.9706
-0.1487,-0.2686,-3.5318
0.4168,-0.1829,-1.2355
0.1996,1.1274,-1.5645
0.1571,4.319,-3.1363
0.2759,11.0057,-7.2202
-1.5308,18.5919,-4.7116
2.5987,16.1345,1.5483
1.4246,8.113,3.2731
-3.7217,3.3366,4.3404
-4.0629,1.4194,5.0907
-3.3436,2.0495,2.8239
-1.2313,2.8156,-0.7255
-0.2117,3.4341,-2.7676
2.6945,1.8889,-2.4391
3.0697,-0.2919,-0.111
1.958,-2.4184,1.0049
1.2663,-4.1073,1.0943
1.0818,-5.3553,0.7214
0.9162,-5.9815,-0.009
0.4882,-6.15,-0.0051
0.1244,-6.878,-0.2295
0.2486,-6.9189,0.0626
0.7819,-6.3594,0.0556
0.9503,-5.7322,-0.1873
0.5447,-5.2738,-0.6032
1.4027,-4.9367,-0.4734
